participante,partido,goles1,goles2
1,1,2,0
1,2,2,1
1,3,1,1
1,4,1,2
1,5,0,2
1,6,2,2
1,7,1,2
1,8,0,1
1,9,4,0
1,10,3,2
1,11,1,2
1,12,2,1

2,1,2,0
2,2,x,x
2,3,2,0
2,4,2,2
2,5,0,2
2,6,2,1
2,7,1,3
2,8,2,1
2,9,4,0
2,10,1,3
2,11,1,2
2,12,2,0

3,1,2,0
3,2,2,1
3,3,1,0
3,4,0,r
3,5,1,1
3,6,4,0
3,7,0,2
3,8,0,0
3,9,3,0
3,10,0,0
3,11,0,1
3,12,1,0

4,1,2,0
4,2,1,1
4,3,1,0
4,4,1,0
4,5,0,2
4,6,2,1
4,7,0,1
4,8,1,2
4,9,2,0
4,10,1,2
4,11,1,3
4,12,2,1

5,1,2,0
5,2,1,2
5,3,1,2
5,4,1,2
5,5,0,2
5,6,3,1
5,7,0,2
5,8,1,1
5,9,5,1
5,10,1,1
5,11,0,2
5,12,2,1

6,1,2,0
6,2,x,x
6,3,2,1
6,4,1,1
6,5,1,2
6,6,3,1
6,7,0,2
6,8,0,2
6,9,4,0
6,10,2,1
6,11,1,2
6,12,1,1

7,1,2,0
7,2,2,0
7,3,2,1
7,4,1,0
7,5,0,1
7,6,2,2
7,7,0,3
7,8,2,1
7,9,4,0
7,10,1,1
7,11,2,1
7,12,2,0

8,1,2,0
8,2,2,1
8,3,3,1
8,4,1,1
8,5,1,1
8,6,1,1
8,7,1,1
8,8,1,1
8,9,3,0
8,10,2,2
8,11,1,2
8,12,0,0

9,1,2,0
9,2,1,1
9,3,1,0
9,4,2,1
9,5,0,2
9,6,1,2
9,7,0,3
9,8,0,1
9,9,3,0
9,10,2,2
9,11,1,1
9,12,2,0

10,1,2,0
10,2,2,0
10,3,1,0
10,4,1,1
10,5,0,2
10,6,3,1
10,7,0,1
10,8,1,1
10,9,4,0
10,10,1,1
10,11,2,1
10,12,2,1

11,1,2,0
11,2,x,x
11,3,1,1
11,4,x,x
11,5,x,x
11,6,x,x
11,7,x,x
11,8,x,x
11,9,x,x
11,10,x,x
11,11,x,x
11,12,x,x

12,1,2,0
12,2,x,x
12,3,1,0
12,4,2,1
12,5,0,2
12,6,2,1
12,7,0,3
12,8,1,2
12,9,3,1
12,10,1,3
12,11,1,0
12,12,1,1

13,1,2,0
13,2,2,0
13,3,2,1
13,4,2,0
13,5,2,1
13,6,3,1
13,7,0,4
13,8,2,2
13,9,5,1
13,10,1,2
13,11,1,3
13,12,2,1

14,1,2,0
14,2,3,1
14,3,3,1
14,4,1,2
14,5,1,3
14,6,4,2
14,7,0,3
14,8,1,2
14,9,5,0
14,10,1,1
14,11,2,1
14,12,1,0

15,1,2,0
15,2,2,1
15,3,2,0
15,4,2,0
15,5,0,3
15,6,2,1
15,7,0,1
15,8,1,2
15,9,4,0
15,10,1,1
15,11,2,1
15,12,1,0

16,1,2,0
16,2,2,2
16,3,1,0
16,4,2,1
16,5,0,3
16,6,2,2
16,7,0,2
16,8,0,1
16,9,6,0
16,10,1,2
16,11,0,0
16,12,1,0

17,1,2,0
17,2,2,1
17,3,2,0
17,4,1,0
17,5,1,2
17,6,1,0
17,7,0,2
17,8,0,1
17,9,3,0
17,10,2,1
17,11,1,1
17,12,1,0
