partido,equipo1,equipo2,goles1,goles2,fase
1,Mexico,Sudáfrica,2,0,Grupos
2,Korea,RepCheca,2,1,Grupos
3,Canada,Bosnia,1,1,Grupos
4,USA,Paraguay,4,1,Grupos
5,Catar,Suiza,1,1,Grupos
6,Brasil,Marruecos,1,1,Grupos
7,Haiti,Escocia,0,1,Grupos
8,Australia,Turquia,2,0,Grupos
9,Alemania,Curaçao,7,1,Grupos
10,Holanda,Japón,2,2,Grupos
11,Costa de Marfil,Ecuador,1,0,Grupos
12,Suecia,Tunez,5,1,Grupos
13,España,Cabo Verde,0,0,Grupos
14,Bélgica,Egipto,1,1,Grupos
15,Arabia Saudí,Urugua,1,1,Grupos
16,Irán,Nueva,2,2,Grupos
17,Francia,Senegal,3,1,Grupos
18,Irak,Noruega,1,4,Grupos
19,Argentina,Argelia,3,0,Grupos
